Year,Day,Hour,Solar,Rain,Wind,Tair,Tsoil,D
1971,1,0,0,0,1.518369381,-5.362993519,-5.362993519,0.332458527
1971,1,1,0,0,1.857514059,-5.116661038,-5.116661038,0.247031259
1971,1,2,0,0,1.733591868,-7.451185159,-7.451185159,0.231940768
1971,1,3,0,0.355876049,4.208884379,-6.392072691,-6.392072691,0.266962917
1971,1,4,0,0,4.90063636,-4.841749583,-4.841749583,0.375309605
1971,1,5,0,0,3.596131242,-5.21616932,-5.21616932,0.413312604
1971,1,6,0,0,2.796512828,-5.472272384,-5.472272384,0.405308857
1971,1,7,0,0,3.966519569,-6.977853203,-6.977853203,0.36096863
1971,1,8,2.529353318,0,3.942445569,-4.251397566,-4.251397566,0.444733708
1971,1,9,59.32496452,0,4.627060684,-3.606004521,-3.606004521,0.466914846
1971,1,10,204.7286911,0,4.242368392,-4.10736177,-4.10736177,0.449601535
1971,1,11,281.1157227,0,5.312474102,-4.176747409,-4.176747409,0.447250732
1971,1,12,128.2917137,0,4.368973433,-1.562542523,-1.562542523,0.543734841
1971,1,13,66.88172913,0.358333187,3.236951107,-1.370742823,-1.370742823,0.551488112
1971,1,14,56.66869354,0.604687252,2.952468093,-0.654144245,-0.654144245,0.535443688
1971,1,15,153.4979057,0,6.129061202,1.119294647,1.119294647,0.504605935
1971,1,16,66.21005917,0,6.429247617,0.20672756,0.20672756,0.465119358
1971,1,17,1.326122284,0.208233349,4.783551125,-0.148498403,-0.148498403,0.485629897
1971,1,18,0,0.143609206,3.423346546,-0.109955522,-0.109955522,0.334085333
1971,1,19,0,0,2.782585751,0.161721317,0.161721317,0.270878028
1971,1,20,0,0,2.354185049,3.368798821,3.368798821,0.449322238
1971,1,21,0,0.173171503,1.884466246,2.050729198,2.050729198,0.327316895
1971,1,22,0,0.247387861,1.393183944,2.100417612,2.100417612,0.269170166
1971,1,23,0,0,2.076976712,1.824676526,1.824676526,0.192839785
1971,2,0,0,0,1.835554807,1.758983188,1.758983188,0.20323104
1971,2,1,0,0,1.084489444,0.868408259,0.868408259,0.234975826
1971,2,2,0,0,0.510583473,0.830514795,0.830514795,0.254948602
1971,2,3,0,0,0.166596426,-1.538243718,-1.538243718,0.301519997
1971,2,4,0,0,0.01,1.176023911,1.176023911,0.221451204
1971,2,5,0,0,0.555332399,-0.195385425,-0.195385425,0.150313729
1971,2,6,0,0,0.318785438,1.889059837,1.889059837,0.182760894
1971,2,7,0,0,1.931784057,0.641711788,0.641711788,0.156059691
1971,2,8,3.160592897,0,1.191415136,0.465449138,0.465449138,0.137923472
1971,2,9,96.65691215,0,2.700488472,5.292998506,5.292998506,0.238880305
1971,2,10,223.5760193,0,2.282807372,2.496206831,2.496206831,0.257983819
1971,2,11,328.0044098,0,1.788374086,2.555578965,2.555578965,0.226811137
1971,2,12,392.3066832,0,1.374762002,1.816133276,1.816133276,0.364787235
1971,2,13,399.5318909,0,1.968926174,-0.417000433,-0.417000433,0.357251212
1971,2,14,342.8057132,0,1.31576518,1.164054896,1.164054896,0.397915299
1971,2,15,220.0082779,0,0.700331209,1.537722628,1.537722628,0.345922485
1971,2,16,108.7370377,0,1.420960242,1.426963174,1.426963174,0.234664582
1971,2,17,1.424280829,0,0.767074509,3.307582181,3.307582181,0.252781657
1971,2,18,0,0,1.239605482,5.360474998,5.360474998,0.209604738
1971,2,19,0,0,0.623940607,3.624135514,3.624135514,0.146861485
1971,2,20,0,0,1.277387819,3.32842875,3.32842875,0.225199086
1971,2,21,0,0,1.200746081,4.211905795,4.211905795,0.123575245
1971,2,22,0,0,0.614692226,1.793448353,1.793448353,0.285490695
