Year,Day_start,Day_end
1971,145,267
1972,142,268
1973,143,270
1974,142,270
1975,144,260
1976,148,268
1977,148,264
1978,147,258
1979,148,267
1980,147,262
1981,145,261
1982,147,266
1983,147,262
1984,141,267
1985,144,267
1986,145,268
1987,148,263
1988,143,263
1989,145,271
1990,145,269
1991,144,267
1992,145,266
1993,142,268
1994,143,272
1995,144,267
1996,144,275
1997,147,259
1998,144,261
1999,148,266
2000,147,263
2001,141,263
2002,145,267
2003,147,259
2004,146,260
2005,148,262
